기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	남	여	계	남	여	계	남	여	계	남	여
2019	마포구	염리동	436	124	312	112	34	78	21	3	18	303	87	216
2019	마포구	신수동	662	175	487	91	27	64	21	3	18	550	145	405
2019	마포구	서교동	687	203	484	65	28	37	29	4	25	593	171	422
2019	마포구	합정동	648	182	466	96	31	65	37	16	21	515	135	380
2019	마포구	망원1동	839	230	609	168	43	125	46	9	37	625	178	447
2019	마포구	망원2동	621	161	460	72	24	48	36	10	26	513	127	386
2019	마포구	연남동	611	164	447	68	14	54	31	5	26	512	145	367
2019	마포구	성산1동	637	200	437	120	49	71	31	6	25	486	145	341
2019	마포구	성산2동	1,513	349	1,164	438	115	323	167	24	143	908	210	698
2019	마포구	상암동	541	133	408	128	30	98	60	14	46	353	89	264
2019	마포구	도화동	730	207	523	175	59	116	37	5	32	518	143	375
2019	마포구	서강동	670	183	487	68	21	47	21	8	13	581	154	427
2019	마포구	공덕동	1,574	443	1,131	297	103	194	62	6	56	1,215	334	881
2019	마포구	아현동	654	164	490	123	35	88	23	1	22	508	128	380
2019	양천구	소계	13,614	4,169	9,445	3,288	1,050	2,238	995	289	706	9,331	2,830	6,501
2019	양천구	목1동	439	122	317	61	13	48	23	3	20	355	106	249
2019	양천구	목2동	829	237	592	191	70	121	58	15	43	580	152	428
2019	양천구	목3동	711	191	520	154	36	118	38	12	26	519	143	376
2019	양천구	목4동	696	200	496	245	92	153	54	23	31	397	85	312
2019	양천구	신월1동	472	105	367	4	1	3	1	26	1	467	104	363
2019	양천구	신월2동	1,168	439	729	396	134	262	98	26	72	674	279	395
2019	양천구	신월3동	742	222	520	167	59	108	63	15	48	512	148	364
2019	양천구	신월4동	985	401	584	230	96	134	88	26	62	667	279	388
2019	양천구	신월5동	523	152	371	128	54	74	67	19	48	328	79	249
2019	양천구	신월6동	515	171	344	98	31	67	169	58	111	248	82	166
2019	양천구	신월7동	255	66	189	38	12	26	3	2	1	214	52	162
2019	양천구	신정1동	1,102	321	781	238	72	166	100	29	71	764	220	544
2019	양천구	신정2동	435	120	315	63	20	43	36	11	25	336	89	247
2019	양천구	신정3동	540	140	400	196	51	145	20	2	18	324	87	237
2019	양천구	신정6동	1,338	396	942	333	100	233	77	21	56	928	275	653
2019	양천구	신정7동	1,337	486	851	220	87	133	34	10	24	1,083	389	694
2019	양천구	목5동	316	67	249	5	3	2	2	1	1	309	63	246
2019	양천구	신정4동	1,211	333	878	521	119	402	64	16	48	626	198	428
2019	강서구	소계	19,498	6,241	13,257	5,956	2,020	3,936	1,373	379	994	12,169	3,842	8,327
2019	강서구	염창동	522	144	378	9	2	7	13	2	11	500	140	360
2019	강서구	등촌1동	668	200	468	61	22	39	16	7	9	591	171	420
2019	강서구	등촌2동	448	127	321	40	9	31	21	4	17	387	114	273
2019	강서구	등촌3동	2,339	757	1,582	1,330	451	879	184	48	136	825	258	567
2019	강서구	화곡본동	995	322	673	244	65	179	84	17	67	667	240	427
2019	강서구	화곡2동	565	183	382	188	50	138	34	6	28	343	127	216
2019	강서구	화곡3동	704	212	492	143	54	89	29	7	22	532	151	381
2019	강서구	화곡4동	737	217	520	199	56	143	34	8	26	504	153	351
2019	강서구	화곡6동	880	298	582	179	57	122	56	14	42	645	227	418
2019	강서구	화곡8동	845	270	575	171	67	104	20	6	14	654	197	457
2019	강서구	가양1동	534	168	366	43	10	33	32	8	24	459	150	309
2019	강서구	가양2동	1,348	462	886	571	229	342	88	23	65	689	210	479
2019	강서구	가양3동	1,116	300	816	619	184	435	59	7	52	438	109	329
2019	강서구	발산1동	732	181	551	192	38	154	51	10	41	489	133	356
2019	강서구	공항동	914	385	529	166	74	92	45	8	37	703	303	400
2019	강서구	방화1동	1,065	342	723	212	70	142	88	22	66	765	250	515
2019	강서구	방화2동	1,159	398	761	453	172	281	81	28	53	625	198	427
2019	강서구	방화3동	1,434	459	975	546	203	343	214	76	138	674	180	494
2019	강서구	화곡1동	1,762	605	1,157	481	170	311	180	64	116	1,101	371	730
2019	강서구	우장산동	731	211	520	109	37	72	44	14	30	578	160	418
2019	구로구	소계	14,414	4,849	9,565	2,718	969	1,749	686	154	532	11,010	3,726	7,284
2019	구로구	신도림동	590	162	428	41	14	27	18	3	15	531	145	386
2019	구로구	구로1동	329	85	244	21	8	13	10	1	9	298	76	222
2019	구로구	구로3동	760	230	530	91	29	62	55	8	47	614	193	421
2019	구로구	구로4동	1,187	388	799	253	82	171	54	10	44	880	296	584
2019	구로구	구로5동	917	323	594	128	45	83	30	8	22	759	270	489
2019	구로구	고척1동	835	274	561	136	58	78	28	7	21	671	209	462
2019	구로구	고척2동	1,055	351	704	225	79	146	56	16	40	774	256	518
2019	구로구	개봉2동	954	297	657	180	70	110	35	7	28	739	220	519
2019	구로구	개봉3동	809	247	562	170	52	118	41	9	32	598	186	412
2019	구로구	오류1동	925	351	574	220	95	125	54	10	44	651	246	405
2019	구로구	오류2동	1,381	414	967	283	72	211	82	17	65	1,016	325	691
2019	구로구	수궁동	857	274	583	138	37	101	62	12	50	657	225	432
2019	구로구	가리봉동	865	377	488	197	94	103	29	6	23	639	277	362
2019	구로구	구로2동	1,574	538	1,036	324	116	208	58	14	44	1,192	408	784
2019	구로구	개봉1동	1,376	538	838	311	118	193	74	26	48	991	394	597
2019	금천구	소계	10,540	3,652	6,888	2,609	895	1,714	869	268	601	7,062	2,489	4,573
2019	금천구	가산동	710	340	370	136	78	58	76	41	35	498	221	277
2019	금천구	독산1동	1,148	401	747	375	132	243	61	15	46	712	254	458
2019	금천구	독산2동	1,207	413	794	211	77	134	126	38	88	870	298	572
2019	금천구	독산3동	1,520	587	933	280	90	190	121	28	93	1,119	469	650
2019	금천구	독산4동	635	199	436	155	39	116	40	7	33	440	153	287
2019	금천구	시흥1동	1,446	475	971	386	135	251	110	39	71	950	301	649
2019	금천구	시흥2동	720	208	512	246	73	173	80	14	66	394	121	273
2019	금천구	시흥3동	579	185	394	91	24	67	35	9	26	453	152	301
2019	금천구	시흥4동	1,401	482	919	339	123	216	135	55	80	927	304	623
2019	금천구	시흥5동	1,174	362	812	390	124	266	85	22	63	699	216	483
2019	영등포구	소계	14,613	5,217	9,396	2,919	1,277	1,642	582	132	450	11,112	3,808	7,304
2019	영등포구	여의동	1,036	252	784	28	5	23	5	1	4	1,003	246	757
2019	영등포구	당산1동	839	315	524	150	81	69	34	7	27	655	227	428
2019	영등포구	당산2동	756	225	531	58	20	38	19	9	10	679	196	483
2019	영등포구	양평1동	585	204	381	83	27	56	25	9	16	477	168	309
2019	영등포구	양평2동	493	153	340	66	15	51	24	8	16	403	130	273
2019	영등포구	신길1동	1,063	364	699	245	85	160	79	20	59	739	259	480
2019	영등포구	신길3동	819	263	556	200	71	129	37	6	31	582	186	396
